# ru_root_glosses.tsv -- machine-derived, UNREVIEWED candidate layer (H347, 08-07-2026)
# Source: SanskritRussian root_glossary.jsonl (corpus_lexicon Sa->Ru alignments), commit 61ad43b4f8e294ed4d383dc4a91f3a89040afe9e 2026-07-01
# Join: exact root_slp1 match against crosswalk/roots.csv, no lemma-hop, no NFD normalization (length-preserving SLP1 both sides)
# Coverage: 666/930 roots have >=1 corpus-attested RU gloss (71.6%); 264 absent from corpus_lexicon; 53 present but low-attestation (root_freq_n < 3)
# Promotion into any reviewed artifact is a separate human-gated step -- gaps stay gaps, no LLM-invented glosses.
whitney_no	root_slp1	root_iast	gloss_ru_1	count_1	gloss_ru_2	count_2	gloss_ru_3	count_3	root_freq_n	root_n_forms	homonym_shared
450	pA	pā	Защищайте	92	пей	76	Пей	50	1264	155	1
451	pAy	pāy							0	0	0
452	pi	pi							0	0	0
453	pinv	pinv	набухает	6	сделали набухшей	5	сделал набухшими	4	75	32	0
454	pibd	pibd							0	0	0
455	piS	piś	украсил	3	украсили	2	Украсил	2	24	14	0
456	piz	piṣ	сжимая	3	растираю	2	перемалываю	2	46	26	0
457	pis	pis							0	0	0
458	pI	pī	идут	3	достигает	3	вступаешь	2	28	11	1
459	pI	pī	идут	3	достигает	3	вступаешь	2	28	11	1
460	pIq	pīḍ							0	0	0
461	pIy	pīy							0	0	0
462	puw	puṭ							0	0	0
463	puT	puth							0	0	0
464	puz	puṣ	процветает	8	питаю	7	процветание	7	147	37	0
465	pU	pū	Павамана	126	очищается	73	Очищайся	64	778	73	0
466	pUj	pūj							0	0	0
467	pUy	pūy	гниет	1					1	1	0
468	pUr	pūr							0	0	0
469	pf	pṛ	полный	25	полное	16	одари	9	437	88	1
470	pf	pṛ	полный	25	полное	16	одари	9	437	88	1
471	pf	pṛ	полный	25	полное	16	одари	9	437	88	1
472	pfc	pṛc	наполняешь	3	наполнил	2	смешайте	2	62	37	0
473	pfR	pṛṇ	заполнил	4	наполните	4	исполни	3	41	20	0
474	pft	pṛt							0	0	0
475	pfS	pṛś							0	0	0
476	pyA	pyā	набухшей	9	сделаешь набухшей	6	набухла	5	110	42	0
477	praC	prach							0	0	0
478	praT	prath	прославленный	8	распространяется	6	известный	5	127	34	0
479	prA	prā	заполнил	16	Заполнив	3	распространил	2	41	17	0
480	prI	prī	доволен	49	довольный	37	довольны	14	345	54	0
481	pru	pru	разложившегося	2	Старший	1			3	3	0
482	pruT	pruth	Храпением прогоняя	2	храпит	2	Почмокав	1	6	3	0
483	pruz	pruṣ	кропят	2	забрызгивает	1	стекают	1	8	4	0
484	plI	plī							0	0	0
485	plu	plu	соскочив	17	спрыгнув	11	искупавшись	6	270	68	0
486	pluz	pluṣ	опаленную	1	плуши	1	белому муравью	1	3	2	0
487	psA	psā	Истребляют	2	истреби	1	сожрет	1	4	3	0
488	Pakk	phakk							0	0	0
489	PaR	phaṇ							0	0	0
490	Par	phar							0	0	0
491	Pal	phal	приносить	2	разлетится	2	приносят плоды	1	27	9	1
492	Pal	phal	приносить	2	разлетится	2	приносят плоды	1	27	9	1
493	baMh	baṃh							0	0	0
494	banD	bandh	связывается	23	связывает	22	связан	21	557	95	0
495	bal	bal							0	0	0
496	bAD	bādh	прогони	4	оттесняет	4	прогоняя	3	165	64	0
497	buD	budh	узнай	46	внемли	21	знай	17	585	111	0
498	bul	bul							0	0	0
499	bfMh	bṛṃh	мощного	2	вогнал	2	извлек	2	15	6	0
500	bfh	bṛh							0	0	1
501	bfh	bṛh							0	0	1
502	brU	brū	сказал	834	скажи	150	сказала	135	2976	131	0
503	blI	blī							0	0	0
504	Bakz	bhakṣ	съесть	2	хотим вкусить	1	хотели бы прильнуть	1	13	7	0
505	Baj	bhaj	почитают	26	почитает	18	поклоняется	15	609	125	0
506	BaYj	bhañj	разбиты	8	разбитый	7	разбито	7	228	40	0
507	Baw	bhaṭ							0	0	0
508	BaR	bhaṇ	ведет речь	3	изреченный	3	изреченного	2	19	8	0
509	Ban	bhan	говорят	1	Говорят	1	исполняет	1	3	2	0
510	Band	bhand	Радостно прославляемые	1	приветствуемый	1	Восхваляемые	1	4	3	0
511	Barts	bharts	оскорбляемая	2	бранить	1	подвергаемая оскорблениям	1	4	3	0
512	Barv	bharv	принеси	3	сияние	3	Принесите	2	29	4	0
513	Bal	bhal							0	0	0
514	Baz	bhaṣ	лают	2	издающие	1	с рычаньем	1	12	7	0
515	Bas	bhas	пожирая	4	освещает	2	сгрызет	2	20	10	0
516	BA	bhā	кажется	35	сияет	28	сияние	21	475	59	0
517	BAm	bhām							0	0	0
518	BAz	bhāṣ	сказал	114	обратился	39	говоришь	33	579	106	0
519	BAs	bhās	свет	24	светом	15	сияние	10	165	28	0
520	Bikz	bhikṣ	Испрашивая	4	прося	3	прошу	3	45	17	0
521	Bid	bhid	разбито	26	пронзил	22	пробив	16	648	119	0
522	Bizaj	bhiṣaj	целители	6	лекарей	3	лекарь	3	33	9	0
523	BI	bhī	в страхе	29	страх	24	боится	24	498	83	0
524	Buj	bhuj	наслаждайся	16	наслаждается	15	вкушает	15	613	104	1
525	Buj	bhuj	наслаждайся	16	наслаждается	15	вкушает	15	613	104	1
526	Bur	bhur	сотрясают	1	Пусть дергаются	1			2	2	0
527	Buraj	bhuraj	готовят	1					1	1	0
528	BU	bhū	будет	512	был	267	будь	259	6906	381	0
529	BUz	bhūṣ	окружаете	3	украшает	3	содействует	2	46	22	0
530	Bf	bhṛ	принеси	76	Принеси	40	несет	37	874	175	0
531	Bfjj	bhṛjj							0	0	0
532	Byas	bhyas	упражняется	5	практиковать	4	следует практиковать	4	104	27	0
533	BraMS	bhraṃś	лишается	6	отпадет	2	изгнанного	2	68	24	0
534	Bram	bhram	блуждает	12	скитался	3	метались	3	164	53	0
535	BrAj	bhrāj	сверкающие	5	сверкающий	5	сияющего	4	130	41	0
536	BrI	bhrī	ранит	1					1	1	0
537	Brez	bhreṣ	оступится	1					1	1	0
538	maMh	maṃh							0	0	0
539	majj	majj	погруженный	11	мозг	8	костный мозг	7	152	53	0
540	maYc	mañc							0	0	0
541	maR	maṇ							0	0	0
542	maRw	maṇṭ							0	0	0
543	maRq	maṇḍ							0	0	0
544	maT	math	похитил	6	пахтать	4	сокрушил	4	196	65	0
545	mad	mad	я	2162	меня	1127	мне	1021	13274	170	0
546	man	man	считаю	89	считаешь	84	думаю	74	1910	179	0
547	mah	mah	великого	56	великому	17	великой	16	295	17	0
548	mA	mā	не	443	меня	213	Не	107	1519	109	1
549	mA	mā	не	443	меня	213	Не	107	1519	109	1
550	mA	mā	не	443	меня	213	Не	107	1519	109	1
551	mArg	mārg	ищет	5	искать	4	в поисках	3	34	17	0
553	mi	mi	сошлись	9	Ними	8	объединяющее	4	120	48	0
554	mikz	mikṣ	смешанный	2	окропите	2	присущ	2	10	5	0
555	miG	migh							0	0	0
556	miT	mith	противников	2	задеваем	1	враждующие	1	6	4	0
557	mid	mid	станет тучной	1					1	1	0
558	mil	mil	возвращаются	1	прижавшись	1	смешавшихся	1	11	5	0
559	miz	miṣ	на глазах	21	открывая глаза	7	моргает	6	85	19	0
560	mih	mih	туман	6	мочатся вниз	2	мочится	2	23	11	0
561	mI	mī	нарушают	10	колдовского	7	нарушает	7	108	27	0
562	mIl	mīl	закрыл глаза	1	спит	1	сомкнувших лепестки	1	14	13	0
563	mIv	mīv							0	0	0
564	muc	muc	освобождается	81	освободишься	35	освободится	33	1631	271	0
565	muw	muṭ							0	0	0
566	mud	mud	радости	26	радость	25	радостно	19	355	53	0
567	muz	muṣ	отнял	4	похитил	3	Похитив	2	38	17	0
568	muh	muh	глупец	32	глупцы	28	глупый	20	512	66	0
569	mU	mū	неистовые	1					1	1	0
570	mUrC	mūrch	воплощенный	5	теряет сознание	2	лишаясь чувств	1	24	9	0
571	mf	mṛ	умирает	45	умер	23	умершего	19	364	56	1
572	mf	mṛ	умирает	45	умер	23	умершего	19	364	56	1
573	mfkz	mṛkṣ	скребнице	2	Сотрите	1	стирали	1	5	2	0
574	mfc	mṛc	смертельным оружием	1	схватите	1	да уязвит	1	3	2	0
575	mfC	mṛch	сталкиваются	2	Воздвигнутый	2	слились	1	13	11	0
576	mfj	mṛj	начищают	26	начищается	6	достойного начищения	4	183	71	0
577	mfq	mṛḍ	Смилуйтесь	6	помилуй	3	будьте милостивы	3	36	9	0
578	mfR	mṛṇ	дробя	2	разбили	1	разбивали	1	13	9	0
579	mfd	mṛd	глины	9	сокрушил	7	глиной	6	138	55	0
580	mfD	mṛdh	врагов	7	хулителей	5	процветающим	5	138	30	0
581	mfS	mṛś	схватил	6	размышляя	6	обдумав	6	138	55	0
582	mfz	mṛṣ	стерпел	5	перенести	3	мог вынести	2	61	23	0
584	mokz	mokṣ							0	0	0
585	mnA	mnā	считаться	1	цитируют	1	возглашают	1	5	3	0
586	myakz	myakṣ	подвиг	2	сделали вкусным	2	сосредоточено	2	13	6	0
587	mrad	mrad	смягчи	1					1	1	0
588	mrit	mrit							0	0	0
589	mruc	mruc	закате	2	исчезнет	2	идут на покой	1	12	8	0
590	mreq	mreḍ							0	0	0
591	mlA	mlā	падали замертво	1	обессилели	1	гибли	1	16	9	0
592	mluc	mluc							0	0	0
593	mlup	mlup							0	0	0
594	mleC	mlech							0	0	0
595	yakz	yakṣ	почтить	2	бросаются	1			3	2	0
596	yaC	yach							0	0	0
597	yaj	yaj	жертвователя	47	жертвователь	25	поклоняются	22	822	119	0
598	yat	yat	стремится	17	стремятся	11	зависят	10	500	110	0
599	yaB	yabh							0	0	0
600	yam	yam	подняв	44	обуздав	34	самообузданный	20	1440	230	0
601	yas	yas	посвятив	10	возложив	8	жертвенные услады	8	339	86	0
602	yah	yah							0	0	0
603	yA	yā	идут	81	идет	61	отправились	57	2763	390	0
604	yAc	yāc	попросил	19	прошу	15	просил	9	239	90	0
605	yAd	yād	соединяющиеся	2	объединяющиеся	1	прибегая	1	4	2	0
606	yu	yu	Аю	56	срок жизни	17	аю	7	245	63	1
607	yu	yu	Аю	56	срок жизни	17	аю	7	245	63	1
608	yuj	yuj	союзником	33	запрягают	29	запряженной	25	2187	319	0
609	yuD	yudh	в битве	144	в бою	119	сражаться	95	1329	144	0
610	yup	yup	нарушили	2	стерта	2	стерлось	1	5	3	0
611	yez	yeṣ	клокочущий	1					1	1	0
612	raMh	raṃh	поторопил	1	мчался	1	быстрые кони	1	9	7	0
613	rakz	rakṣ	охраняет	24	охраняемый	23	охраняют	20	664	136	0
614	raNg	raṅg							0	0	0
615	rac	rac							0	0	0
616	raj	raj							0	0	1
617	raj	raj							0	0	1
618	raYC	rañch							0	0	0
619	raw	raṭ							0	0	0
620	raRv	raṇv							0	0	0
621	rad	rad	укусил	5	пробуравил	4	предназначила	2	39	17	0
622	raD	radh	отдай во власть	2	отдал во власть	2	подвластны	1	16	13	0
623	ran	ran	радуются	6	радуюсь	2	радости	2	41	18	1
624	ran	ran	радуются	6	радуюсь	2	радости	2	41	18	1
625	rap	rap	шепчу	2	исступленно бормочет	1	шептать будем	1	4	3	0
626	rapS	rapś	переполнен	2	лопается	1	перерастает	1	4	2	0
627	raP	raph							0	0	0
628	raB	rabh	начал	9	разгневанный	6	разъяренные	6	342	94	0
629	ram	ram	радуются	19	наслаждается	13	умолк	13	541	109	0
630	ramb	ramb							0	0	0
631	ramB	rambh							0	0	0
632	raS	raś							0	0	0
633	ras	ras	поднялся	8	появился	5	явилась	3	118	19	0
634	rah	rah	высказал	1	покинуто	1	покинутая	1	6	3	0
635	rA	rā	дар	15	дай	12	даруй	7	154	37	1
636	rA	rā	дар	15	дай	12	даруй	7	154	37	1
637	rAj	rāj	Вирадж	52	сверкает	12	сиял	12	406	69	0
638	rAD	rādh	ты имел успех	4	провинился	3	провиниться	2	65	32	0
639	rAs	rās							0	0	1
640	rAs	rās							0	0	1
641	ri	ri	высокое	5	пустил течь	4	воссоздали	3	124	32	0
642	riK	rikh							0	0	0
643	riYK	riñkh							0	0	0
644	ric	ric	превосходит	11	хуже	8	превзошел	4	120	45	0
645	rip	rip	все вокруг	2	враги	1	прегрешения	1	8	4	0
646	riP	riph	хрипящая	2	земли	2	восхвалил	2	7	3	0
647	riB	ribh	распевая	7	воспевая	2	распевают	2	14	6	0
648	riS	riś	отведаем	1	пасущиеся	1			2	2	0
649	riz	riṣ	терпит ущерб	5	гибнет	4	терпит зла	4	90	33	0
650	rih	rih	лижут	9	Лижут	4	облизывают	3	23	6	0
651	rI	rī							0	0	0
652	ru	ru	взревел	2	взревели	2	прореви	2	33	19	1
653	ru	ru	взревел	2	взревели	2	прореви	2	33	19	1
654	ruc	ruc	нравится	20	сверкает	16	по душе	14	292	61	0
655	ruj	ruj	проломил	7	вырвав	4	боль	4	99	37	0
656	ruW	ruṭh							0	0	0
657	rud	rud	рыдая	18	плача	16	плачет	14	260	57	0
658	ruD	rudh	приобретает	7	удерживает	6	притесняется	6	316	102	1
659	ruD	rudh	приобретает	7	удерживает	6	притесняется	6	316	102	1
660	rup	rup	погубишь	3	с земли	2	формы	2	19	6	0
661	ruz	ruṣ	в гневе	13	гнев	9	разгневанный	5	58	12	0
662	ruh	ruh	взошел	58	поднялся	42	взойдя	16	534	134	0
663	rUz	rūṣ							0	0	0
664	rej	rej	трясутся	4	дрожит	3	сотрясались	2	31	11	0
665	req	reḍ							0	0	0
666	reB	rebh							0	0	0
667	lakz	lakṣ	видел	1	присмотрись	1			2	2	0
668	lag	lag	застрявшие	4	застрявших	3	увязшими	2	41	10	0
669	laNG	laṅgh	поглощается	1	стремящиеся	1	нарушив	1	9	4	0
670	lajj	lajj	стыдливая	4	стыдно	3	стыда	2	30	14	0
671	laq	laḍ							0	0	0
672	lap	lap	причитала	7	сетуя	7	говоря	5	216	51	0
673	laB	labh	обретает	52	получив	32	получает	32	958	122	0
674	lam	lam							0	0	0
675	lamb	lamb	висящих	6	висим	4	висите	3	94	43	0
676	lal	lal	чарующий	2	играли	1	сын	1	17	8	0
677	laz	laṣ	стремятся	2	желаемое	2	тянуться	1	12	6	0
678	las	las	развлекайся	7	предается любовной забаве	6	сияет	3	35	10	0
679	lA	lā							0	0	0
680	lAYC	lāñch							0	0	0
681	liK	likh	чертит	3	рисует	2	начертана	2	32	21	0
682	lip	lip	пятнается	27	оскверняется	10	пятнают	5	156	22	0
683	liS	liś							0	0	0
684	lih	lih	облизывая	9	вылизанных	2	лизал	1	20	13	0
685	lI	lī	растворяется	21	исчезает	12	растворяются	8	179	61	1
686	lI	lī	растворяется	21	исчезает	12	растворяются	8	179	61	1
687	luYc	luñc							0	0	0
688	luW	luṭh	простерся	1	мечется	1	дрожит	1	4	3	1
689	luW	luṭh	простерся	1	мечется	1	дрожит	1	4	3	1
690	luq	luḍ							0	0	0
691	lup	lup	отнять	2	уничтожают	2	омрачаютъ	1	33	26	0
692	luB	lubh	жадный	15	алчный	4	жаден	4	78	13	0
693	lul	lul	заболело	1	смятении	1	трепетала	1	10	4	0
694	lU	lū	рассек	1	без	1	сжатых	1	5	3	0
695	lok	lok	увидав	1	завидел	1	смотри	1	10	5	0
696	loc	loc							0	0	0
697	vak	vak							0	0	0
698	vakz	vakṣ	вырос	6	возрос	5	возросла	3	31	10	0
699	vac	vac	сказал	1061	сказав	327	сказано	264	5315	218	0
700	vaj	vaj	обнял	38	обняв	30	обняла	8	139	23	0
701	vaYc	vañc	Пусть скачут	2	Мчись	2	вниз	1	18	12	0
702	vaRw	vaṇṭ							0	0	0
703	vat	vat	сказал	25	называют	9	говорить	7	194	13	0
704	vad	vad	говорят	63	говорит	33	говоришь	33	851	168	0
705	vaD	vadh	убил	47	убью	16	убить	11	348	57	0
706	van	van	добывает	5	добудет	4	хочет	3	124	60	0
707	vand	vand	приветствовал	13	достойный хвалы	5	почтил	5	115	32	0
708	vap	vap	сея	3	рассыпая	3	посеяно	3	98	44	1
709	vap	vap	сея	3	рассыпая	3	посеяно	3	98	44	1
710	vam	vam	извергающие	3	изверг	2	исторгая	2	35	18	0
711	val	val	Валина	7	Валин	4	Валином	2	30	10	0
712	valg	valg	приплясывая	2	возвышавшемуся	1	подпрыгивали	1	11	10	0
713	valh	valh							0	0	0
714	vaS	vaś	хочет	18	хотим	9	охотно	7	167	37	0
715	vas	vas	жил	52	живет	41	жили	40	1126	248	1
716	vas	vas	жил	52	живет	41	жили	40	1126	248	1
717	vas	vas	жил	52	живет	41	жили	40	1126	248	1
718	vah	vah	привези	49	везут	41	Привези	20	877	178	0
719	vA	vā	или	507	и	31	же	26	846	43	1
720	vA	vā	или	507	и	31	же	26	846	43	1
722	vAYC	vāñch	Да пожелают	2	пожелает	2	желает	2	27	11	0
723	vAS	vāś	заставил звучать	3	вызвал мычание	3	мыча	3	48	19	0
724	vAh	vāh							0	0	0
725	vic	vic	уединенный	3	уединенном	3	уединение	3	69	23	1
726	vic	vic	уединенный	3	уединенном	3	уединение	3	69	23	1
727	vij	vij	страшится	3	отвращается	3	боится	3	136	38	0
728	vid	vid	знает	524	знай	248	знают	126	4337	254	1
729	vid	vid	знает	524	знай	248	знают	126	4337	254	1
730	viD	vidh	почтим	14	почтить	10	хотим почтить	5	89	14	1
731	viD	vidh	почтим	14	почтить	10	хотим почтить	5	89	14	1
732	vinD	vindh							0	0	0
733	vip	vip	дрожа	12	трепеща	7	трепещет	6	129	30	0
734	viS	viś	вошел	136	племен	62	племена	62	2197	273	0
735	viz	viṣ	ищи	5	испражнения	5	ища	4	125	49	0
736	vizw	viṣṭ							0	0	0
737	vI	vī	птицы	5	исполняешь	5	да рассеется	5	167	43	0
738	vIj	vīj	овевали	2	овевают	1	обвеивают	1	5	4	0
739	vIq	vīḍ							0	0	0
740	vf	vṛ	окруженный	117	окружили	35	выбираем	32	1669	238	1
741	vf	vṛ	окруженный	117	окружили	35	выбираем	32	1669	238	1
742	vfMh	vṛṃh							0	0	0
743	vfj	vṛj	обойди	4	минует	4	пощадит	3	109	58	0
744	vft	vṛt	возвращаются	53	возвращается	37	началась	24	2549	402	0
745	vfD	vṛdh	возрастает	32	возрос	17	усилили	14	755	152	0
746	vfz	vṛṣ	окатил	10	дождь	9	дождил	8	268	69	0
747	vfh	vṛh	вырываю	7	извлек	4	вырываем	3	36	19	0
748	ven	ven	Видят	2	отворачивайтесь	2	Озирается	2	15	9	0
749	vell	vell							0	0	0
750	vezw	veṣṭ	сокращается	2	побегут	1	когда обмотали	1	27	22	0
751	vyac	vyac	покрывает	2	охватил	1	свернул	1	12	9	0
752	vyaj	vyaj							0	0	0
753	vyaT	vyath	отпрянут	8	встревожились	4	колеблись	4	167	29	0
754	vyaD	vyadh	пронзил	278	поразил	75	пронзив	66	905	111	0
755	vyay	vyay							0	0	0
756	vyA	vyā							0	0	0
757	vraj	vraj	загон	14	идет	8	Ступай	6	358	89	0
758	vrad	vrad							0	0	0
759	vran	vran							0	0	0
760	vraSc	vraśc	отрубаю	5	разрубил	5	отлучается	3	63	27	0
761	vrAD	vrādh	растут	2	растущие	1	свирепыми	1	8	4	0
762	vrIq	vrīḍ	пристыженный	4	стыдливо	3	терзаясь стыдом	2	30	8	0
763	vruq	vruḍ							0	0	0
764	vlag	vlag	Настигнув	1	настигнуты	1			2	2	0
765	vlI	vlī							0	0	0
766	SaMs	śaṃs	скажи	14	расскажи	10	восхваляешь	10	577	130	0
767	Sak	śak	способен	46	могу	36	в силах	34	600	68	0
768	SaNk	śaṅk	опасаясь	6	сомневаешься	4	подозревая	3	98	42	0
769	Sat	śat							0	0	0
770	Sad	śad	кичащуюся	2	одерживая верх	2	красуясь	1	11	5	1
771	Sad	śad	кичащуюся	2	одерживая верх	2	красуясь	1	11	5	1
772	Sap	śap	проклял	32	проклят	19	клянусь	17	191	49	0
773	Sam	śam	счастье	33	на благо	28	благо	21	513	76	1
774	Sam	śam	счастье	33	на благо	28	благо	21	513	76	1
775	Sam	śam	счастье	33	на благо	28	благо	21	513	76	1
776	Sal	śal							0	0	0
777	SaS	śaś							0	0	0
778	Sas	śas	наставлению	2	заклание	2	безоружных	2	14	7	0
779	SA	śā	острыми	142	ночь	65	острые	41	614	54	0
780	SAs	śās	правил	17	правь	13	правит	11	393	99	1
781	SAs	śās	правил	17	правь	13	правит	11	393	99	1
782	Sikz	śikṣ	старается	3	хочу одарить	2	соберись с силами	2	71	30	0
783	SiNG	śiṅgh							0	0	0
784	SiYj	śiñj	гудит	4	визжит	1			5	1	0
785	Sip	śip							0	0	0
786	Sim	śim							0	0	0
787	Siz	śiṣ	остается	20	превосходит	15	выделяется	9	287	51	0
788	SI	śī	лежит	64	лежащего	18	спит	16	420	81	1
789	SI	śī	лежит	64	лежащего	18	спит	16	420	81	1
790	Suc	śuc	скорбит	24	скорбеть	20	печалься	20	437	93	0
791	Suj	śuj	разбухая	2					2	1	0
792	SuD	śudh	очищается	33	чистый	27	чистым	13	206	23	0
793	SuB	śubh	блистал	13	сиял	10	украшают	10	234	38	0
794	Suz	śuṣ	пересыхает	9	пересохшим	6	иссыхает	3	66	25	1
795	Suz	śuṣ	пересыхает	9	пересохшим	6	иссыхает	3	66	25	1
796	SU	śū							0	0	0
797	Sf	śṛ	разбей	4	Разбей	3	увядать	3	123	46	1
798	Sf	śṛ	разбей	4	Разбей	3	увядать	3	123	46	1
799	Sf	śṛ	разбей	4	Разбей	3	увядать	3	123	46	1
800	SfD	śṛdh	дерзкого	2	торжествует	1	Лихо	1	17	9	0
801	Scand	ścand							0	0	0
802	Scam	ścam	уймут	1					1	1	0
803	Scut	ścut	протекают по каплям	1	Сочатся	1	стекают	1	5	2	0
804	SnaT	śnath	столкни	2	разбил	2	сразил	2	18	10	0
805	SyA	śyā	Да наступит	1					1	1	0
806	SraT	śrath	сними	2	отпусти	1	отпустят	1	20	11	0
807	Sran	śran							0	0	0
808	Sram	śram	отдохнув	14	усталый	12	устали	9	201	50	0
809	SramB	śrambh	спокойно	2	твердо	2	смело	2	30	12	0
810	SrA	śrā	сварена	2	одноглазый	1	лучше	1	5	4	0
811	Sri	śri	полагаясь	29	опираясь	26	предавшись	18	828	146	0
812	Sriz	śriṣ	прикрепить	1					1	1	0
813	SrI	śrī	Шри	51	счастье	21	богатство	21	563	37	1
814	SrI	śrī	Шри	51	счастье	21	богатство	21	563	37	1
815	Sru	śru	услышав	502	Услышав	196	выслушав	177	3526	198	0
816	Sruz	śruṣ	слушаться	1					1	1	0
817	SlaT	ślath							0	0	0
818	SlA	ślā							0	0	0
819	SlAG	ślāgh	достойного восхваления	2	похвально	2	прославляемых	1	39	12	0
820	Sliz	śliṣ	обняв	6	обнял	4	обнявшись	3	50	21	0
821	SvaYc	śvañc							0	0	0
822	Svas	śvas	завтра	50	вздыхая	26	дыша	21	358	93	0
823	SvA	śvā							0	0	0
824	Svit	śvit	белых	1	засветила	1			2	2	0
825	zWIv	ṣṭhīv	выталкивает	1	плюнув	1	плюнул	1	3	3	0
826	sakz	sakṣ							0	0	0
827	saG	sagh	справиться	1					1	1	0
828	sac	sac	следуют	16	следует	15	сопровождают	9	195	48	0
829	saj	saj							0	0	0
830	sad	sad	уселся	25	смилуйся	17	усаживается	15	916	195	0
831	san	san	добывает	5	древние	4	завоевывает	4	137	42	0
832	sap	sap	упряжка	6	упряжку	3	почитали	2	25	9	0
833	sarj	sarj	скрипнет	1					1	1	0
834	saSc	saśc							0	0	0
835	sas	sas	спящего	3	спит	3	жертвенной пищи	2	19	13	0
836	sah	sah	могу	19	смею	12	насильно	12	551	116	0
837	sA	sā	решительный	14	решимости	4	решил	4	141	37	1
838	sA	sā	решительный	14	решимости	4	решил	4	141	37	1
839	sAD	sādh	достигает цели	5	Приведи прямо к цели	4	ведя к цели	3	40	17	0
840	si	si	связывающий	2	ложе	1	это	1	10	9	0
841	sic	sic	подливая	5	вливает	4	излил	4	192	79	0
842	siD	sidh	устанавливается	7	прогоняют	4	прогоните	4	171	52	1
843	siD	sidh	устанавливается	7	прогоняют	4	прогоните	4	171	52	1
844	sI	sī							0	0	0
845	sIv	sīv	цепь	1	пронизывающего	1	цепи	1	14	9	0
846	su	su	выжимающего	31	хорошенько	24	выжимающему	16	356	62	0
847	sul	sul							0	0	0
848	suB	subh							0	0	0
849	sU	sū	родила	24	рождает	6	возбудит	6	268	68	0
850	sUd	sūd	сделай привлекательными	2	Сделает вкусным	2	Продвигайте	2	13	7	0
851	sUrkz	sūrkṣ							0	0	0
852	sf	sṛ	ушедший	11	следуй	9	перевоплощается	8	365	133	0
853	sfk	sṛk							0	0	0
854	sfj	sṛj	выпустил	66	сотворил	35	оставив	35	1448	247	0
855	sfp	sṛp	ползает	2	Отступил	2	выползает	2	107	68	0
856	sev	sev	служит	7	наслаждается	5	служить	4	209	63	0
857	skand	skand	истекло	7	соскочил	5	соскочив	5	55	19	0
858	skamB	skambh	укреплены	3	укрепил	2	укрепили	2	8	6	0
859	sku	sku	делает надрезы	1					1	1	0
860	skf	skṛ							0	0	0
861	sKal	skhal	спотыкаясь	3	споткнулся	1	пошатнулся	1	18	10	0
862	stan	stan	стонущие	1	вопить	1	стонали	1	8	5	0
863	stamB	stambh	укрепил	12	упрямый	8	упрямые	4	96	25	0
864	stA	stā							0	0	0
865	stiG	stigh							0	0	0
866	stim	stim							0	0	0
867	stu	stu	восхвалять	15	восхваляют	15	восхвалителю	14	497	124	1
868	stu	stu	восхвалять	15	восхваляют	15	восхвалителю	14	497	124	1
869	stuB	stubh	возгласы	2	поощряемый криками	1	восхваляя	1	10	7	0
870	stf	stṛ	швырнуть	5	Расстелена	4	разложена	3	166	72	0
871	stfh	stṛh							0	0	0
872	styA	styā							0	0	0
873	sTag	sthag							0	0	0
874	sTA	sthā	пребывает	123	стоит	90	стоя	82	4011	394	0
875	snA	snā	омывшись	29	совершив омовение	19	искупавшись	18	200	25	0
876	snih	snih							0	0	0
877	snu	snu	вершины	2	поверхности	2	доятся	1	9	6	0
878	spand	spand	деятельностью	1	зажатый	1	задрожал	1	9	8	0
879	spaS	spaś							0	0	0
880	spUrD	spūrdh							0	0	0
881	spf	spṛ	освободила	2	защити	2	да одарит	2	15	11	0
882	spfD	spṛdh	соперничал	7	соперничая	5	соперничаешь	5	77	25	0
883	spfS	spṛś	коснулся	20	коснувшись	16	касается	13	396	95	0
884	spfh	spṛh	желанные	1	несравненной	1			2	1	0
885	sPaw	sphaṭ							0	0	0
886	sPar	sphar							0	0	0
887	sPal	sphal							0	0	0
888	sPA	sphā							0	0	0
889	sPuw	sphuṭ	рассечены	1	расщепляемого	1	разрывается	1	10	7	0
890	sPur	sphur	столкнул	3	сияющий	3	дрожа	3	88	35	0
891	sPUrj	sphūrj	раскаты	2	она ревет	1	оглашая	1	11	5	0
892	sPf	sphṛ							0	0	0
893	smi	smi	улыбаясь	36	с улыбкой	11	изумленные	9	209	36	0
894	smf	smṛ	считается	68	вспоминая	53	помня	51	757	75	0
895	syand	syand	текут	7	хлынул	3	устремился	2	35	17	0
896	sraMs	sraṃs	выпадает	10	выпадаетъ	2	выскальзывает	2	39	13	0
897	sriD	sridh	допустивших ошибки	2	неудачи	2	заблуждения	2	17	7	0
898	srIv	srīv							0	0	0
899	sru	sru	растекайся вокруг	15	течет	10	растекайся	7	148	52	0
900	svaj	svaj	обнял	4	обними	4	обнимаются	1	13	7	0
901	svad	svad	сделает вкусными	2	Делаете приятным	2	Будь вкусным	2	18	12	0
902	svan	svan	с шумом	2	с грохотом	2	громким	2	25	13	0
903	svap	svap	спит	31	уснула	23	спящих	22	379	74	0
904	svar	svar	солнце	69	небо	44	солнечный свет	9	236	15	0
905	svAd	svād	становится вкусным	1					1	1	0
906	svid	svid	же	27	ли	3	покрытым потом	2	53	11	0
907	had	had							0	0	0
908	han	han	убит	323	убив	226	убил	214	4994	447	0
909	har	har							0	0	0
